,Asignatura,CB1,CB2,CB3,CB4,CB5,CG1,CG2,CG3,CG4,CT1,CT2,CT3,CT4,CT5,CE1,CE2,CE3,CE4,CE5,CE6,CE7,CE8,CE9,CE10,CE11,CE12,CE13
1,Fundamentos de la ciencia de datos,,1,1,,,,1,,1,1,,1,,1,,,,,,,,,,1,,1,
2,Tipología y ciclo de vida de los datos,,1,,,1,1,,,1,1,1,1,1,,,1,,,,1,,,1,1,,,
3,Arquitecturas de bases de datos no tradicionales,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,1,,,,,
4,Bases de datos analíticas,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,1,1,,,,,
5,Estadística avanzada,1,1,1,,1,1,1,,,,,1,1,1,,,,1,1,1,,,,,,,
6,Modelos avanzados de minería de datos,1,1,1,1,1,1,1,1,1,1,,1,,1,1,,1,,1,1,,,,,1,,
7,Análisis de sentimientos y redes sociales,1,1,1,1,1,1,1,1,1,1,1,,,1,1,1,1,,1,,,,1,,,,
8,Análisis de datos geoespaciales,1,1,,1,1,1,1,1,,,1,1,1,1,,1,1,,,,,,,,1,,
9,Análisis de datos en entornos Big Data,1,1,1,1,1,1,1,1,1,1,1,,,1,1,,1,1,1,,,,,,,,
10,Visualización de datos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,,,,1,,,,,1,,
11,Periodismo de datos,1,1,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,1,,,1,1,1,,
12,Trabajo Final de Máster,1,1,1,1,1,1,1,1,1,1,1,1,,1,,,,,,,,,,,,,1
